self_ref,text,level,page_no,orig
#/texts/1606,NOTE 1 ~SUMMARY OF SIGNIFICANT ACCOUNTING POLICIES (continued),1,178,NOTE 1 ~SUMMARY OF SIGNIFICANT ACCOUNTING POLICIES (continued)
#/texts/1607,SUBSEQUENT EVENTS,1,178,SUBSEQUENT EVENTS
#/texts/1611,NOTE 2 CASH AND CASH FLOWS,1,178,NOTE 2 CASH AND CASH FLOWS
#/texts/1614,NOTE 3 - ACCOUNTS RECEIVABLE,1,178,NOTE 3 - ACCOUNTS RECEIVABLE
#/texts/1616,"ITOM PLUMBER GLOBAL, INC.",1,179,"ITOM PLUMBER GLOBAL, INC."
#/texts/1617,NOTES TO FINANCIAL STATEMENTS,1,179,NOTES TO FINANCIAL STATEMENTS
#/texts/1619,NOTE 4 - OTHER INVESTMENTS,1,179,NOTE 4 - OTHER INVESTMENTS
#/texts/1621,NOTE 5 - FRANCHISE DEVELOPMENT COSTS SUBJECT TO AMORTIZATION,1,179,NOTE 5 - FRANCHISE DEVELOPMENT COSTS SUBJECT TO AMORTIZATION
#/texts/1624,NOTE 6 - DEFERRED REVENUE,1,179,NOTE 6 - DEFERRED REVENUE
#/texts/1627,"ITOM PLUMBER GLOBAL, INC.",1,180,"ITOM PLUMBER GLOBAL, INC."
#/texts/1628,NOTES TO FINANCIAL STATEMENTS,1,180,NOTES TO FINANCIAL STATEMENTS
#/texts/1630,NOTE 7 - RELATED PARY TRANSACTIONS,1,180,NOTE 7 - RELATED PARY TRANSACTIONS
#/texts/1632,NOTE 8 OPERATING LEASES,1,180,NOTE 8 OPERATING LEASES
#/texts/1635,Exhibit G,1,181,Exhibit G
#/texts/1636,State Administrators and Agents for Service of Process,1,181,State Administrators and Agents for Service of Process
#/texts/1638,California,1,181,California
#/texts/1640,Hawaii,1,181,Hawaii
#/texts/1642,Illinois,1,181,Illinois
#/texts/1645,Indiana,1,181,Indiana
#/texts/1647,Maryland,1,181,Maryland
#/texts/1650,North Dakota,1,181,North Dakota
#/texts/1652,Rhode Island,1,181,Rhode Island
#/texts/1655,Michigan,1,181,Michigan
#/texts/1657,Minnesota,1,181,Minnesota
#/texts/1659,South Dakota,1,181,South Dakota
#/texts/1661,Virginia,1,181,Virginia
#/texts/1663,Washington,1,181,Washington
#/texts/1665,Wisconsin,1,181,Wisconsin
#/texts/1698,Agents for Service of Process:,1,182,Agents for Service of Process:
#/texts/1701,Start -Up Manual,1,183,Start -Up Manual
#/texts/1704,Exhibit H,1,183,Exhibit H
#/texts/1705,Exhibit I,1,184,Exhibit I
#/texts/1706,"Names , A Addresses, and Phone Numbers of Franchisees as of December 31, 2023",1,184,"Names , A Addresses, and Phone Numbers of Franchisees as of December 31, 2023"
#/texts/1707,Alabama,1,184,Alabama
#/texts/1711,Arizona,1,184,Arizona
#/texts/1713,Florida,1,184,Florida
#/texts/1715,Georgia,1,184,Georgia
#/texts/1717,Illinois,1,184,Illinois
#/texts/1719,Louisiana,1,184,Louisiana
#/texts/1723,New York,1,185,New York
#/texts/1729,North Carolina,1,185,North Carolina
#/texts/1735,Ohio,1,185,Ohio
#/texts/1741,Oklahoma,1,185,Oklahoma
#/texts/1745,Pennsylvania,1,185,Pennsylvania
#/texts/1755,South Carolina,1,185,South Carolina
#/texts/1760,Tennessee,1,186,Tennessee
#/texts/1766,Texas,1,186,Texas
#/texts/1772,Utah,1,186,Utah
#/texts/1774,Virginia,1,186,Virginia
#/texts/1779,Washington,1,186,Washington
#/texts/1783,Wisconsin,1,187,Wisconsin
#/texts/1785,"Names and Addresses of Franchisees who have signed Franchise Agreements but have not yet Opened as of December 31, 2023",1,187,"Names and Addresses of Franchisees who have signed Franchise Agreements but have not yet Opened as of December 31, 2023"
#/texts/1786,Arizona,1,187,Arizona
#/texts/1789,Florida,1,187,Florida
#/texts/1800,Illinois,1,188,Illinois
#/texts/1802,Kentucky,1,188,Kentucky
#/texts/1804,North Carolina,1,188,North Carolina
#/texts/1810,Ohio,1,188,Ohio
#/texts/1822,Pennsylvania,1,189,Pennsylvania
#/texts/1839,South Carolina,1,189,South Carolina
#/texts/1843,Texas,1,189,Texas
#/texts/1847,Virginia,1,190,Virginia
#/texts/1849,Wisconsin,1,190,Wisconsin
#/texts/1852,Tennessee,1,190,Tennessee
#/texts/1855,STATE EFFECTIVE DATES,1,191,STATE EFFECTIVE DATES
#/texts/1868,RECEIPT OF FRANCHISE DISCLOSURE DOCUMENT,1,192,RECEIPT OF FRANCHISE DISCLOSURE DOCUMENT
#/texts/1886,RECEIPT OF FRANCHISE DISCLOSURE DOCUMENT,1,193,RECEIPT OF FRANCHISE DISCLOSURE DOCUMENT
